,ID,Tuổi,Giới tính,Ngành nghề,Tình trạng hôn nhân
0,1,24,Nữ,Nhân viên văn phòng,Độc thân
1,2,21,Nam,Sinh viên,Độc thân
2,3,30,Nữ,Kinh doanh,Đã kết hôn
3,4,28,Nữ,Kinh doanh,Đã kết hôn
4,5,25,Nữ,Nhân viên văn phòng,Đã kết hôn
5,6,30,Nữ,Kinh doanh,Đã kết hôn
6,7,22,Nữ,Thất nghiệp,Đã kết hôn
7,8,24,Nữ,Nhân viên văn phòng,Độc thân
8,9,27,Nam,Công việc tự do,Độc thân
9,10,20,Nữ,Kinh doanh,Đã kết hôn
10,11,24,Nam,Nhân viên văn phòng,Độc thân
11,12,28,Nữ,Công việc tự do,Độc thân
12,13,28,Nam,Kinh doanh,Độc thân
13,14,25,Nam,Công việc tự do,Đã kết hôn
14,15,22,Nam,Công chức,Độc thân
15,16,21,Nam,Kinh doanh,Độc thân
16,17,25,Nam,Công chức,Khác
17,18,25,Nam,Sinh viên,Đã kết hôn
18,19,20,Nữ,Sinh viên,Khác
19,20,23,Nam,Nhân viên văn phòng,Độc thân
20,21,22,Nữ,Công nhân,Độc thân
21,22,19,Nữ,Công chức,Đã kết hôn
22,23,25,Nam,Công chức,Độc thân
23,24,29,Nam,Sinh viên,Độc thân
24,25,23,Nữ,Công chức,Độc thân
25,26,19,Nam,Công nhân,Độc thân
26,27,29,Nam,Công việc tự do,Độc thân
27,28,22,Nam,Công việc tự do,Độc thân
28,29,18,Nam,Công nhân,Độc thân
29,30,29,Nam,Công chức,Đã kết hôn
30,31,27,Nam,Công chức,Độc thân
31,32,23,Nam,Công chức,Độc thân
32,33,30,Nữ,Thất nghiệp,Độc thân
33,34,29,Nam,Nhân viên văn phòng,Độc thân
34,35,26,Nữ,Kinh doanh,Đã kết hôn
35,36,18,Nữ,Công nhân,Độc thân
36,37,28,Nữ,Công nhân,Đã kết hôn
37,38,28,Nữ,Thất nghiệp,Độc thân
38,39,27,Nam,Công nhân,Độc thân
39,40,29,Nữ,Công nhân,Độc thân
40,41,29,Nữ,Thất nghiệp,Độc thân
41,42,20,Nữ,Công nhân,Độc thân
42,43,29,Nữ,Công chức,Độc thân
43,44,24,Nữ,Thất nghiệp,Độc thân
44,45,21,Nam,Nhân viên văn phòng,Đã kết hôn
45,46,26,Nam,Sinh viên,Đã kết hôn
46,47,20,Nữ,Công chức,Độc thân
47,48,22,Nam,Công chức,Độc thân
48,49,20,Nam,Kinh doanh,Độc thân
49,50,24,Nữ,Thất nghiệp,Khác
50,51,22,Nữ,Sinh viên,Độc thân
51,52,26,Nữ,Công nhân,Độc thân
52,53,24,Nam,Sinh viên,Độc thân
53,54,19,Nữ,Nhân viên văn phòng,Độc thân
54,55,21,Nam,Công việc tự do,Độc thân
55,56,26,Nam,Công chức,Độc thân
56,57,29,Nam,Thất nghiệp,Đã kết hôn
57,58,19,Nữ,Thất nghiệp,Đã kết hôn
58,59,27,Nam,Sinh viên,Độc thân
59,60,26,Nữ,Kinh doanh,Độc thân
60,61,27,Nữ,Nhân viên văn phòng,Độc thân
61,62,22,Nữ,Công việc tự do,Đã kết hôn
62,63,19,Nữ,Nhân viên văn phòng,Đã kết hôn
63,64,21,Nữ,Thất nghiệp,Độc thân
64,65,29,Nam,Công nhân,Độc thân
65,66,29,Nam,Công việc tự do,Độc thân
66,67,24,Nam,Thất nghiệp,Độc thân
67,68,29,Nam,Kinh doanh,Độc thân
68,69,30,Nam,Công việc tự do,Khác
69,70,25,Nữ,Thất nghiệp,Độc thân
70,71,20,Nữ,Kinh doanh,Độc thân
71,72,18,Nam,Công nhân,Đã kết hôn
72,73,21,Nam,Kinh doanh,Độc thân
73,74,19,Nam,Nhân viên văn phòng,Khác
74,75,25,Nữ,Sinh viên,Độc thân
75,76,21,Nữ,Nhân viên văn phòng,Đã kết hôn
76,77,19,Nữ,Thất nghiệp,Độc thân
77,78,23,Nam,Thất nghiệp,Độc thân
78,79,23,Nam,Công chức,Độc thân
79,80,27,Nam,Nhân viên văn phòng,Độc thân
80,81,21,Nam,Công việc tự do,Độc thân
81,82,23,Nữ,Công nhân,Khác
82,83,30,Nam,Công chức,Đã kết hôn
83,84,19,Nam,Công chức,Độc thân
84,85,27,Nam,Công chức,Độc thân
85,86,29,Nữ,Thất nghiệp,Đã kết hôn
86,87,19,Nữ,Sinh viên,Đã kết hôn
87,88,27,Nam,Kinh doanh,Độc thân
88,89,21,Nữ,Công việc tự do,Đã kết hôn
89,90,25,Nữ,Thất nghiệp,Độc thân
90,91,24,Nữ,Công nhân,Độc thân
91,92,29,Nữ,Thất nghiệp,Độc thân
92,93,26,Nữ,Sinh viên,Đã kết hôn
93,94,25,Nam,Thất nghiệp,Độc thân
94,95,22,Nam,Thất nghiệp,Độc thân
95,96,30,Nam,Nhân viên văn phòng,Độc thân
96,97,19,Nữ,Công nhân,Độc thân
97,98,22,Nữ,Công chức,Độc thân
98,99,25,Nữ,Công nhân,Độc thân
99,100,27,Nữ,Công nhân,Độc thân
100,101,26,Nam,Nhân viên văn phòng,Độc thân
101,102,29,Nam,Kinh doanh,Đã kết hôn
102,103,29,Nam,Thất nghiệp,Độc thân
103,104,29,Nam,Công việc tự do,Đã kết hôn
104,105,30,Nam,Công chức,Độc thân
105,106,26,Nam,Kinh doanh,Độc thân
106,107,30,Nữ,Sinh viên,Độc thân
107,108,30,Nữ,Thất nghiệp,Độc thân
108,109,18,Nam,Công chức,Độc thân
109,110,26,Nữ,Công việc tự do,Đã kết hôn
110,111,24,Nam,Thất nghiệp,Đã kết hôn
111,112,26,Nam,Sinh viên,Độc thân
