id,booking_code,customer_id,vehicle_id,scheduled_at,status,service_amount,reward_point_earned,reward_point_redeemed,promotion_id,hour_of_day,day_of_week,day_name,tier_rule_id,tier_code,wash_count,lifetime_spend
1762,FK230610006300023,148,188,1686385680,COMPLETED,50000.00,5,0,,15,7,Saturday,3,GOLD,32,2250000.00
2030,FK230617008200025,167,207,1686979800,COMPLETED,50000.00,5,0,,12,7,Saturday,3,GOLD,25,1670000.00
1763,FK230617006300164,148,188,1686984300,COMPLETED,80000.00,8,0,,13,7,Saturday,3,GOLD,32,2250000.00
1764,FK230624006300251,148,188,1687615560,COMPLETED,80000.00,8,0,,21,7,Saturday,3,GOLD,32,2250000.00
1765,FK230625006300310,148,188,1687683720,CANCELLED,80000.00,0,0,,16,1,Sunday,3,GOLD,32,2250000.00
2006,FK230626008000018,165,205,1687791540,COMPLETED,50000.00,5,0,,21,2,Monday,2,SILVER,20,1250000.00
1766,FK230701006300468,148,188,1688230440,COMPLETED,80000.00,8,0,,23,7,Saturday,3,GOLD,32,2250000.00
2031,FK230702008200120,167,207,1688303760,COMPLETED,80000.00,8,0,,20,1,Sunday,3,GOLD,25,1670000.00
1767,FK230708006300545,148,188,1688818620,COMPLETED,80000.00,8,0,,19,7,Saturday,3,GOLD,32,2250000.00
1476,FK230708004300073,128,168,1688830560,COMPLETED,80000.00,8,0,,22,7,Saturday,2,SILVER,19,1200000.00
2032,FK230709008200287,167,207,1688917560,COMPLETED,80000.00,8,0,,22,1,Sunday,3,GOLD,25,1670000.00
2007,FK230715008000191,165,205,1689433320,COMPLETED,80000.00,8,0,,22,7,Saturday,2,SILVER,20,1250000.00
1768,FK230715006300672,148,188,1689441540,COMPLETED,50000.00,5,0,,0,1,Sunday,3,GOLD,32,2250000.00
2435,FK230715011000077,195,235,1689441540,COMPLETED,80000.00,8,0,,0,1,Sunday,3,GOLD,28,1770000.00
1477,FK230718004300169,128,168,1689666180,COMPLETED,50000.00,5,0,,14,3,Tuesday,2,SILVER,19,1200000.00
2464,FK230720011100071,196,236,1689841440,COMPLETED,50000.00,5,0,,15,5,Thursday,2,SILVER,15,810000.00
1140,FK230722001800042,103,143,1690003740,COMPLETED,50000.00,5,0,,12,7,Saturday,2,SILVER,22,1340000.00
2740,FK230722013100071,216,256,1690005540,CANCELLED,50000.00,0,0,,12,7,Saturday,2,SILVER,16,930000.00
1770,FK230722006300883,148,188,1690005780,COMPLETED,30000.00,3,0,,13,7,Saturday,3,GOLD,32,2250000.00
3528,FK230722017900083,264,304,1690027620,COMPLETED,80000.00,8,0,,19,7,Saturday,2,SILVER,15,1110000.00
1769,FK230722006300797,148,188,1690038420,COMPLETED,80000.00,8,0,,22,7,Saturday,3,GOLD,32,2250000.00
1771,FK230726006300947,148,188,1690392660,COMPLETED,80000.00,8,0,,0,5,Thursday,3,GOLD,32,2250000.00
1772,FK230729006301050,148,188,1690609080,COMPLETED,80000.00,8,0,,12,7,Saturday,3,GOLD,32,2250000.00
1845,FK230729006500093,150,190,1690611540,COMPLETED,80000.00,8,0,,13,7,Saturday,2,SILVER,14,890000.00
1523,FK230729004700088,132,172,1690616400,COMPLETED,50000.00,5,0,,14,7,Saturday,1,MEMBER,10,490000.00
2033,FK230729008200366,167,207,1690627020,COMPLETED,80000.00,8,0,,17,7,Saturday,3,GOLD,25,1670000.00
3529,FK230729017900159,264,304,1690650240,COMPLETED,50000.00,5,0,,0,1,Sunday,2,SILVER,15,1110000.00
2008,FK230801008000281,165,205,1690876920,COMPLETED,80000.00,8,0,,15,3,Tuesday,2,SILVER,20,1250000.00
2465,FK230805011100124,196,236,1691214060,COMPLETED,80000.00,8,0,,12,7,Saturday,2,SILVER,15,810000.00
